<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,W,20150105,000000,55.7500000,56.3000000,48.9000000,49.3800000,840074
ICE.BRN,W,20150112,000000,49.4000000,50.6200000,45.1900000,49.9100000,501300
ICE.BRN,W,20150119,000000,49.9200000,50.4500000,47.7800000,47.9700000,797479
ICE.BRN,W,20150126,000000,47.9500000,53.0800000,47.5700000,52.1000000,824683
ICE.BRN,W,20150202,000000,52.0900000,60.0800000,51.4100000,58.6000000,621328
ICE.BRN,W,20150209,000000,58.5600000,61.7700000,55.1600000,62.0300000,826818
ICE.BRN,W,20150216,000000,62.0500000,63.0000000,57.8000000,59.8900000,681300
ICE.BRN,W,20150223,000000,59.9000000,62.8300000,58.1000000,62.8900000,864966
ICE.BRN,W,20150302,000000,62.8300000,62.9600000,59.6700000,59.7500000,206752
ICE.BRN,W,20150309,000000,59.8400000,60.5000000,54.7500000,53.9900000,465614
ICE.BRN,W,20150316,000000,53.9900000,56.8400000,52.5700000,54.7000000,743148
ICE.BRN,W,20150323,000000,54.7500000,59.7800000,54.1200000,55.9400000,818660
ICE.BRN,W,20150330,000000,55.9400000,58.3200000,54.7000000,56.4700000,563068
ICE.BRN,W,20150406,000000,56.4800000,60.3200000,55.6900000,58.8900000,406102
ICE.BRN,W,20150413,000000,58.9200000,64.9500000,58.5600000,64.0000000,772897
ICE.BRN,W,20150420,000000,64.0100000,65.8000000,61.3900000,65.4400000,747784
ICE.BRN,W,20150427,000000,65.4600000,66.9300000,63.9000000,67.3300000,619751
ICE.BRN,W,20150504,000000,67.1300000,69.6300000,64.2300000,66.1300000,457927
ICE.BRN,W,20150511,000000,66.0900000,68.5200000,65.0100000,66.9100000,649312
ICE.BRN,W,20150518,000000,66.9100000,67.8800000,63.9500000,65.4900000,729588
ICE.BRN,W,20150525,000000,65.5500000,66.2200000,61.2400000,65.1900000,746451
ICE.BRN,W,20150601,000000,65.2400000,66.5000000,61.6700000,63.6900000,350544
ICE.BRN,W,20150608,000000,63.6600000,66.9400000,63.0400000,64.1500000,427754
ICE.BRN,W,20150615,000000,64.1600000,65.4700000,62.3400000,62.7100000,829050
ICE.BRN,W,20150622,000000,62.6700000,65.0500000,62.1000000,62.5600000,716220
ICE.BRN,W,20150629,000000,62.5500000,63.8300000,60.6300000,60.2900000,545866
ICE.BRN,W,20150706,000000,60.1300000,60.5400000,55.6000000,58.1900000,450390
ICE.BRN,W,20150713,000000,58.1600000,59.1400000,56.4000000,57.1600000,716247
ICE.BRN,W,20150720,000000,57.1900000,57.4400000,54.3000000,54.6200000,598282
ICE.BRN,W,20150727,000000,54.6200000,54.8900000,51.6300000,51.7000000,747801
ICE.BRN,W,20150803,000000,51.7400000,52.0100000,48.4200000,48.4200000,763536
