<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.CL,W,20150105,000000,51.6500000,52.1400000,46.8300000,47.5700000,1413043
NYMEX.CL,W,20150112,000000,47.5600000,51.2700000,44.2000000,48.8000000,1492418
NYMEX.CL,W,20150119,000000,48.7900000,49.1500000,44.3500000,44.9900000,1222075
NYMEX.CL,W,20150126,000000,44.9900000,48.3500000,43.5800000,46.8800000,1334168
NYMEX.CL,W,20150202,000000,46.8900000,55.0500000,46.8300000,52.8000000,578584
NYMEX.CL,W,20150209,000000,52.8300000,54.7100000,48.9300000,53.4700000,336555
NYMEX.CL,W,20150216,000000,53.5700000,54.9200000,49.8200000,50.7600000,930601
NYMEX.CL,W,20150223,000000,50.7400000,52.0000000,47.8000000,51.7700000,1509725
NYMEX.CL,W,20150302,000000,51.7700000,54.0000000,50.8000000,51.2000000,148973
NYMEX.CL,W,20150309,000000,51.2100000,52.4400000,45.8700000,46.7600000,275280
NYMEX.CL,W,20150316,000000,46.7500000,47.4800000,44.0300000,46.0200000,1030029
NYMEX.CL,W,20150323,000000,46.0100000,52.4800000,45.3300000,48.1000000,1513317
NYMEX.CL,W,20150330,000000,48.1000000,52.0300000,47.1200000,51.4700000,638444
NYMEX.CL,W,20150406,000000,51.4400000,55.3700000,50.0900000,53.6500000,223818
NYMEX.CL,W,20150413,000000,53.6300000,58.8200000,53.3100000,58.0200000,511079
NYMEX.CL,W,20150420,000000,58.0100000,58.6300000,55.7300000,56.9400000,1298677
NYMEX.CL,W,20150427,000000,56.9300000,59.9000000,56.0700000,59.1100000,1104412
NYMEX.CL,W,20150504,000000,59.1100000,62.7100000,58.1400000,60.1100000,1025600
NYMEX.CL,W,20150511,000000,60.1100000,62.7500000,58.7500000,60.7300000,692733
NYMEX.CL,W,20150518,000000,60.7300000,61.7100000,57.9300000,59.7900000,1126619
NYMEX.CL,W,20150525,000000,59.7800000,60.7000000,56.5100000,59.8500000,1118841
NYMEX.CL,W,20150601,000000,59.8500000,61.8300000,57.2100000,59.0700000,324440
NYMEX.CL,W,20150608,000000,59.0700000,62.2200000,58.3200000,60.2000000,135838
NYMEX.CL,W,20150615,000000,60.1900000,61.8100000,59.1900000,59.9100000,508783
NYMEX.CL,W,20150622,000000,59.9200000,61.5700000,58.6300000,58.7700000,1128892
NYMEX.CL,W,20150629,000000,58.7600000,59.6900000,54.8200000,55.1500000,762960
NYMEX.CL,W,20150706,000000,55.1800000,55.5200000,50.9500000,52.3300000,223448
NYMEX.CL,W,20150713,000000,52.3400000,53.9400000,50.5000000,50.9700000,367792
NYMEX.CL,W,20150720,000000,50.9700000,51.5800000,47.7200000,47.8500000,1123498
NYMEX.CL,W,20150727,000000,47.8700000,49.5200000,46.3500000,46.8400000,1248962
NYMEX.CL,W,20150803,000000,46.8300000,46.8400000,43.3500000,44.1100000,1219313
NYMEX.CL,W,20150810,000000,44.1300000,46.0100000,42.1600000,42.6000000,488230
NYMEX.CL,W,20150817,000000,42.6100000,43.3800000,39.0000000,39.3300000,1130249
NYMEX.CL,W,20150824,000000,39.3300000,45.9000000,37.7600000,44.6400000,1841565
NYMEX.CL,W,20150831,000000,44.6500000,49.3300000,43.2100000,45.7000000,2377555
NYMEX.CL,W,20150907,000000,45.7000000,46.5800000,43.3600000,45.1100000,730908
NYMEX.CL,W,20150914,000000,45.1600000,48.0700000,44.0900000,45.3800000,498339
NYMEX.CL,W,20150921,000000,45.3800000,47.1500000,43.7100000,45.3000000,1404246
NYMEX.CL,W,20150928,000000,45.2900000,47.1000000,43.9700000,45.8300000,1358234
NYMEX.CL,W,20151005,000000,45.8300000,50.9200000,45.6500000,50.4600000,1609270
NYMEX.CL,W,20151012,000000,50.4900000,50.6200000,45.7900000,47.5000000,550745
NYMEX.CL,W,20151019,000000,47.5000000,47.6100000,44.2000000,44.7600000,1317250
NYMEX.CL,W,20151026,000000,44.7600000,47.0300000,42.5800000,46.4400000,1533884
NYMEX.CL,W,20151102,000000,46.4500000,48.3600000,43.8300000,44.7900000,1458168
NYMEX.CL,W,20151109,000000,44.7900000,45.3900000,41.5500000,42.2000000,757172
NYMEX.CL,W,20151116,000000,42.2100000,43.2400000,40.7700000,40.7800000,1131954
NYMEX.CL,W,20151123,000000,40.7800000,43.4600000,40.4100000,41.8200000,1323997
NYMEX.CL,W,20151130,000000,41.8200000,42.6100000,39.3800000,39.6200000,1726441
NYMEX.CL,W,20151207,000000,39.5900000,39.7600000,36.6400000,37.1100000,1317233
NYMEX.CL,W,20151214,000000,37.0700000,39.1300000,35.5600000,35.7900000,834464
NYMEX.CL,W,20151221,000000,35.8200000,38.2800000,35.3500000,37.7400000,917723
NYMEX.CL,W,20151228,000000,37.7400000,38.3200000,36.2200000,37.7900000,819669
NYMEX.CL,W,20160104,000000,37.7800000,38.3900000,32.1000000,32.5200000,1865799
NYMEX.CL,W,20160111,000000,32.5200000,34.3100000,29.3500000,30.0300000,657224
NYMEX.CL,W,20160118,000000,30.0300000,32.3500000,27.5600000,32.2500000,2041564
NYMEX.CL,W,20160125,000000,32.5500000,34.8200000,29.2500000,33.1100000,2740273
NYMEX.CL,W,20160201,000000,33.1200000,33.6000000,29.4000000,31.1700000,2378594
NYMEX.CL,W,20160208,000000,31.1800000,31.3800000,26.0500000,29.3800000,2037015
NYMEX.CL,W,20160215,000000,29.3700000,34.2100000,28.7000000,32.3700000,1525621
NYMEX.CL,W,20160222,000000,32.3600000,34.6900000,30.5600000,32.7400000,2178482
NYMEX.CL,W,20160229,000000,32.7500000,36.7200000,32.3200000,36.5700000,2173873
NYMEX.CL,W,20160307,000000,36.5700000,39.0200000,36.0900000,38.4000000,2291529
NYMEX.CL,W,20160314,000000,38.4100000,42.4900000,35.9600000,40.6700000,1662160
NYMEX.CL,W,20160321,000000,40.6600000,41.9000000,38.3300000,39.8100000,1533883
NYMEX.CL,W,20160328,000000,39.8000000,40.1400000,36.1800000,36.3500000,2022758
NYMEX.CL,W,20160404,000000,36.3400000,40.4200000,35.2400000,39.8400000,2261004
NYMEX.CL,W,20160411,000000,39.8400000,42.4200000,39.0000000,39.7400000,2272375
NYMEX.CL,W,20160418,000000,39.7500000,44.4900000,39.3500000,43.0500000,2715439
NYMEX.CL,W,20160425,000000,43.0500000,46.7800000,42.5000000,45.4700000,2403690
NYMEX.CL,W,20160502,000000,45.4600000,46.1500000,43.2200000,45.4900000,2587332
NYMEX.CL,W,20160509,000000,45.4900000,47.7100000,43.0300000,47.5000000,2579536
NYMEX.CL,W,20160516,000000,47.4900000,49.5600000,47.2600000,48.1400000,1827284
NYMEX.CL,W,20160523,000000,48.1400000,50.2100000,47.4000000,49.1900000,1958900
NYMEX.CL,W,20160530,000000,49.1800000,50.1000000,47.7500000,49.1000000,1764718
NYMEX.CL,W,20160606,000000,49.1000000,51.6700000,48.2100000,48.4300000,1914644
NYMEX.CL,W,20160613,000000,48.4400000,49.2800000,45.9100000,49.1000000,1652519
NYMEX.CL,W,20160620,000000,49.1100000,50.5400000,46.7000000,47.3800000,2069865
NYMEX.CL,W,20160627,000000,47.3800000,50.0000000,45.8300000,48.9600000,1966688
NYMEX.CL,W,20160704,000000,48.9600000,49.3500000,44.7700000,45.1000000,1963642
NYMEX.CL,W,20160711,000000,45.1000000,46.9300000,44.4200000,45.9600000,2032776
NYMEX.CL,W,20160718,000000,45.9600000,46.5900000,43.7400000,44.2300000,1778831
NYMEX.CL,W,20160725,000000,44.2300000,44.3100000,40.5700000,41.7600000,1894278
NYMEX.CL,W,20160801,000000,41.7600000,42.1000000,39.1900000,42.0100000,2130901
NYMEX.CL,W,20160808,000000,42.0100000,45.6200000,41.1000000,45.5200000,2115743
