<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.HO,W,20150105,000000,1.7794000,1.7939000,1.6715000,1.6967000,147757
NYMEX.HO,W,20150112,000000,1.6964000,1.7170000,1.5890000,1.6573000,138366
NYMEX.HO,W,20150119,000000,1.6607000,1.6840000,1.6168000,1.6435000,46266
NYMEX.HO,W,20150126,000000,1.6403000,1.7197000,1.6050000,1.6810000,27389
NYMEX.HO,W,20150202,000000,1.6810000,1.8747000,1.6777000,1.8420000,171931
NYMEX.HO,W,20150209,000000,1.8390000,1.9991000,1.7886000,1.9755000,159208
NYMEX.HO,W,20150216,000000,1.9789000,2.2118000,1.9194000,2.2095000,71409
NYMEX.HO,W,20150223,000000,2.2047000,2.3514000,1.9615000,1.9664000,27364
NYMEX.HO,W,20150302,000000,1.9683000,1.9686000,1.8503000,1.8532000,159347
NYMEX.HO,W,20150309,000000,1.8535000,1.8827000,1.6855000,1.7087000,137410
NYMEX.HO,W,20150316,000000,1.7082000,1.7923000,1.6688000,1.7206000,97877
NYMEX.HO,W,20150323,000000,1.7202000,1.8013000,1.6950000,1.7248000,30655
NYMEX.HO,W,20150330,000000,1.7247000,1.7661000,1.6653000,1.7026000,74690
NYMEX.HO,W,20150406,000000,1.7033000,1.7891000,1.6958000,1.7729000,138746
NYMEX.HO,W,20150413,000000,1.7727000,1.9265000,1.7683000,1.8966000,127961
NYMEX.HO,W,20150420,000000,1.8970000,1.9450000,1.8382000,1.9241000,43969
NYMEX.HO,W,20150427,000000,1.9227000,1.9889000,1.9049000,1.9802000,40661
NYMEX.HO,W,20150504,000000,1.9803000,2.0800000,1.9282000,1.9536000,145825
NYMEX.HO,W,20150511,000000,1.9549000,2.0296000,1.9313000,2.0102000,149146
NYMEX.HO,W,20150518,000000,2.0108000,2.0291000,1.9250000,1.9550000,68816
NYMEX.HO,W,20150525,000000,1.9554000,1.9781000,1.8429000,1.9392000,22917
NYMEX.HO,W,20150601,000000,1.9402000,1.9573000,1.8185000,1.8569000,170548
NYMEX.HO,W,20150608,000000,1.8580000,1.9539000,1.8500000,1.8800000,150398
NYMEX.HO,W,20150615,000000,1.8799000,1.9488000,1.8538000,1.8657000,137835
NYMEX.HO,W,20150622,000000,1.8657000,1.9304000,1.8417000,1.8465000,35461
NYMEX.HO,W,20150629,000000,1.8431000,1.8952000,1.7820000,1.7850000,84041
NYMEX.HO,W,20150706,000000,1.7850000,1.7932000,1.6721000,1.7133000,186546
NYMEX.HO,W,20150713,000000,1.7130000,1.7462000,1.6538000,1.6577000,142506
NYMEX.HO,W,20150720,000000,1.6591000,1.6864000,1.6241000,1.6275000,58661
NYMEX.HO,W,20150727,000000,1.6275000,1.6340000,1.5699000,1.5827000,19975
NYMEX.HO,W,20150803,000000,1.5821000,1.5823000,1.5212000,1.5375000,142993
NYMEX.HO,W,20150810,000000,1.5380000,1.6051000,1.5306000,1.5470000,142747
NYMEX.HO,W,20150817,000000,1.5472000,1.5741000,1.4367000,1.4453000,96292
NYMEX.HO,W,20150824,000000,1.4394000,1.5997000,1.3750000,1.5545000,41060
NYMEX.HO,W,20150831,000000,1.5464000,1.6865000,1.5326000,1.5868000,152015
NYMEX.HO,W,20150907,000000,1.5885000,1.6043000,1.5226000,1.5382000,114923
NYMEX.HO,W,20150914,000000,1.5423000,1.5638000,1.4838000,1.5013000,116451
NYMEX.HO,W,20150921,000000,1.5010000,1.5780000,1.4802000,1.5138000,38750
NYMEX.HO,W,20150928,000000,1.5099000,1.5817000,1.4742000,1.5272000,86019
NYMEX.HO,W,20151005,000000,1.5261000,1.6379000,1.5250000,1.5957000,137906
NYMEX.HO,W,20151012,000000,1.5967000,1.6080000,1.4492000,1.4919000,134503
NYMEX.HO,W,20151019,000000,1.4919000,1.4925000,1.4295000,1.4557000,57806
