<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.XRB,W,20150105,000000,1.4164000,1.4314000,1.2936000,1.3146000,131629
NYMEX.XRB,W,20150112,000000,1.3173000,1.4149000,1.2265000,1.3580000,129066
NYMEX.XRB,W,20150119,000000,1.3649000,1.3674000,1.2988000,1.3333000,37735
NYMEX.XRB,W,20150126,000000,1.3335000,1.4739000,1.2990000,1.4550000,17313
NYMEX.XRB,W,20150202,000000,1.4558000,1.6260000,1.4514000,1.5697000,160233
NYMEX.XRB,W,20150209,000000,1.5739000,1.6534000,1.5142000,1.6322000,111164
NYMEX.XRB,W,20150216,000000,1.6362000,1.6812000,1.5108000,1.6640000,46137
NYMEX.XRB,W,20150223,000000,1.6626000,1.9779000,1.5960000,1.9699000,16796
NYMEX.XRB,W,20150302,000000,1.9703000,1.9725000,1.8508000,1.8732000,147243
NYMEX.XRB,W,20150309,000000,1.8735000,1.9028000,1.7337000,1.7555000,123689
NYMEX.XRB,W,20150316,000000,1.7537000,1.8207000,1.6925000,1.7841000,76456
NYMEX.XRB,W,20150323,000000,1.7830000,1.9024000,1.7646000,1.7982000,27384
NYMEX.XRB,W,20150330,000000,1.7895000,1.8429000,1.7345000,1.7849000,73756
NYMEX.XRB,W,20150406,000000,1.7849000,1.8636000,1.7375000,1.8096000,151509
NYMEX.XRB,W,20150413,000000,1.8090000,1.9548000,1.7946000,1.9504000,125908
NYMEX.XRB,W,20150420,000000,1.9496000,2.0116000,1.8700000,2.0100000,40756
NYMEX.XRB,W,20150427,000000,2.0070000,2.0556000,1.9825000,2.0413000,39178
NYMEX.XRB,W,20150504,000000,2.0432000,2.0950000,1.9621000,1.9914000,137329
NYMEX.XRB,W,20150511,000000,1.9909000,2.0660000,1.9673000,2.0600000,107279
NYMEX.XRB,W,20150518,000000,2.0600000,2.0871000,1.9934000,2.0652000,53550
