"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2020","293.75","297.75","303.50","291.75","37.83K","3.52%"
"May 29, 2020","283.75","282.00","301.75","274.75","51.67K","0.98%"
"May 28, 2020","281.00","284.50","290.25","278.75","58.88K","-2.01%"
"May 27, 2020","286.75","298.50","300.75","285.00","43.66K","-3.45%"
"May 26, 2020","297.00","300.75","310.25","293.75","50.08K","-0.92%"
"May 25, 2020","299.75","289.50","301.75","289.50","9.58K","4.17%"
"May 22, 2020","287.75","295.75","297.75","280.00","55.05K","-2.95%"
"May 21, 2020","296.50","297.25","307.50","294.50","50.61K","-1.00%"
"May 20, 2020","299.50","288.00","307.00","288.00","72.24K","3.19%"
"May 19, 2020","290.25","306.25","306.25","285.75","83.87K","-4.13%"
"May 18, 2020","302.75","272.50","305.75","272.50","90.16K","12.23%"
"May 15, 2020","269.75","266.75","277.50","262.25","87.12K","5.68%"
"May 14, 2020","255.25","245.25","267.50","243.00","98.22K","4.08%"
"May 13, 2020","245.25","241.50","253.50","237.50","102.87K","2.19%"
"May 12, 2020","240.00","238.00","244.25","238.00","4.59K","0.00%"
"May 11, 2020","240.00","249.00","254.00","237.25","25.31K","-0.93%"
"May 08, 2020","242.25","234.00","252.75","232.50","11.10K","1.89%"
"May 07, 2020","237.75","233.75","248.75","227.50","34.34K","4.28%"
"May 06, 2020","228.00","259.00","259.00","224.75","34.54K","-5.69%"
"May 05, 2020","241.75","230.00","255.00","228.00","38.98K","14.71%"
"May 04, 2020","210.75","217.50","229.75","210.00","32.67K","-4.20%"
"May 01, 2020","220.00","240.00","240.00","216.00","29.22K","-7.07%"
"Apr 30, 2020","236.75","213.25","241.75","213.00","48.69K","13.55%"
"Apr 29, 2020","208.50","192.75","219.25","190.75","42.89K","8.88%"
"Apr 28, 2020","191.50","192.25","198.75","181.00","34.08K","0.39%"
"Apr 27, 2020","190.75","202.75","206.25","187.50","36.15K","-6.95%"
"Apr 24, 2020","205.00","214.00","222.25","199.50","58.14K","-9.99%"
"Apr 23, 2020","227.75","212.00","237.25","211.75","45.87K","7.43%"
"Apr 22, 2020","212.00","220.00","231.50","188.25","73.15K","-1.85%"
"Apr 21, 2020","216.00","262.75","264.75","204.50","104.27K","-17.48%"
"Apr 20, 2020","261.75","275.75","278.75","256.25","76.84K","-4.99%"
"Apr 17, 2020","275.50","276.50","283.00","271.00","94.22K","1.66%"
"Apr 16, 2020","271.00","269.25","280.25","261.25","101.39K","3.93%"
"Apr 15, 2020","260.75","280.50","281.50","260.00","95.56K","-6.71%"
"Apr 14, 2020","279.50","300.00","300.75","275.50","99.83K","-6.37%"
"Apr 13, 2020","298.50","304.00","305.25","280.50","71.89K","-1.32%"
"Apr 09, 2020","302.50","303.25","321.50","290.00","105.73K","1.51%"
"Apr 08, 2020","298.00","300.00","301.50","291.50","3.59K","0.00%"
"Apr 07, 2020","298.00","306.75","312.50","294.00","25.28K","1.45%"
"Apr 06, 2020","293.75","305.00","313.00","291.50","39.97K","-1.09%"
"Apr 03, 2020","297.00","289.50","319.50","279.00","39.17K","7.61%"
"Apr 02, 2020","276.00","271.75","383.00","269.00","77.69K","1.56%"
"Apr 01, 2020","271.75","287.00","289.25","266.25","61.00K","-7.17%"
"Mar 31, 2020","292.75","295.75","303.75","285.00","44.51K","2.63%"
"Mar 30, 2020","285.25","301.00","305.75","282.50","57.47K","-5.00%"
"Mar 27, 2020","300.25","303.50","310.25","296.50","48.21K","-1.15%"
"Mar 26, 2020","303.75","310.50","311.75","298.00","39.82K","-0.74%"
"Mar 25, 2020","306.00","312.50","314.75","298.25","40.63K","0.91%"
"Mar 24, 2020","303.25","300.75","312.50","297.75","41.70K","6.03%"
"Mar 23, 2020","286.00","291.75","300.50","280.00","58.30K","-4.98%"
"Mar 20, 2020","301.00","300.00","323.75","292.75","82.35K","4.60%"
"Mar 19, 2020","287.75","289.00","310.75","273.75","71.90K","6.08%"
"Mar 18, 2020","271.25","294.25","302.00","263.00","86.85K","-9.58%"
"Mar 17, 2020","300.00","303.25","314.25","294.25","89.08K","-2.04%"
"Mar 16, 2020","306.25","351.25","351.25","299.25","103.93K","-8.99%"
"Mar 13, 2020","336.50","337.75","357.75","334.00","122.58K","-10.51%"
"Mar 12, 2020","376.00","360.00","360.00","340.50","5.25K","0.00%"
"Mar 11, 2020","376.00","374.00","389.00","367.50","34.13K","1.90%"
"Mar 10, 2020","369.00","361.50","381.75","356.75","49.32K","2.71%"
"Mar 09, 2020","359.25","396.00","396.00","315.75","70.34K","-13.07%"
"Mar 06, 2020","413.25","448.75","449.75","412.50","74.44K","-9.38%"
"Mar 05, 2020","456.00","463.00","466.25","444.50","74.81K","-1.35%"
"Mar 04, 2020","462.25","464.00","471.50","457.75","52.44K","0.43%"
"Mar 03, 2020","460.25","470.25","475.00","455.75","82.75K","1.27%"
"Mar 02, 2020","454.50","437.00","469.00","437.00","61.52K","3.06%"
"Feb 28, 2020","441.00","446.00","450.50","435.50","75.06K","-0.95%"
"Feb 27, 2020","445.25","455.00","455.25","437.25","113.67K","-5.01%"
"Feb 26, 2020","468.75","479.50","484.75","450.50","103.08K","-3.50%"
"Feb 25, 2020","485.75","493.50","496.50","476.50","71.23K","0.05%"
"Feb 24, 2020","485.50","505.00","507.50","481.50","73.88K","-4.52%"
"Feb 21, 2020","508.50","512.75","514.75","503.50","85.65K","-2.02%"
"Feb 20, 2020","519.00","518.75","523.75","513.25","86.92K","0.39%"
"Feb 19, 2020","517.00","507.25","519.50","504.75","98.34K","2.58%"
"Feb 18, 2020","504.00","512.25","512.25","501.50","102.28K","-1.22%"
"Feb 17, 2020","510.25","517.50","517.75","509.75","74.66K","-0.83%"
"Feb 14, 2020","514.50","511.75","518.50","509.50","80.11K","0.39%"
"Feb 13, 2020","512.50","508.25","517.00","505.75","123.96K","3.69%"
"Feb 12, 2020","494.25","499.00","506.00","499.00","3.64K","0.00%"
"Feb 11, 2020","494.25","491.75","500.00","491.75","36.87K","0.36%"
"Feb 10, 2020","492.50","500.00","503.50","489.50","55.61K","-2.52%"
