date,brent,crude,gasoline,heating,gas,natural
2008-01-02,97.84,99.62,2.4818,2.7404,855.0,7.85
2008-01-03,97.6,99.18,2.4793,2.7191,860.5,7.6739999999999995
2008-01-04,96.79,97.91,2.4677,2.6835,846.5,7.841
2008-01-07,94.39,95.09,2.3965,2.5935,816.5,7.879
2008-01-08,95.54,96.33,2.4263,2.6363,839.25,7.9670000000000005
2008-01-09,94.37,95.67,2.3884,2.6134,844.25,8.099
2008-01-10,92.22,93.71,2.3529,2.5573,844.25,8.259
2008-01-11,91.07,92.69,2.3465,2.5359,797.5,8.21
2008-01-14,92.92,94.2,2.3848,2.5892,808.5,8.353
2008-01-15,90.98,91.9,2.3426,2.5472,798.5,8.196
2008-01-16,89.75,90.84,2.3272,2.5184,780.5,8.133
2008-01-17,88.75,90.13,2.3112,2.5035,786.0,8.081
2008-01-18,89.23,90.57,2.3262,2.5074,789.5,7.992999999999999
2008-01-21,87.51,90.57,2.3262,2.5074,778.0,7.992999999999999
2008-01-22,88.45,89.85,2.3063,2.4726,776.75,7.67
2008-01-23,86.62,86.99,2.2748,2.4231,770.75,7.621
2008-01-24,89.07,89.41,2.3133,2.4763,774.25,7.8020000000000005
2008-01-25,90.9,90.71,2.3551,2.5191,797.75,7.983
2008-01-28,91.38,90.99,2.3702,2.5265,795.25,8.095
2008-01-29,92.0,91.64,2.3839,2.5418,810.5,7.996
2008-01-30,92.53,92.33,2.3944,2.5493,810.25,8.045
2008-01-31,92.21,91.75,2.3951,2.5345,797.0,8.074
2008-02-01,89.44,88.96,2.3503,2.4489,800.25,7.74
2008-02-04,90.47,90.02,2.3751,2.4833,799.75,7.869
2008-02-05,88.82,88.41,2.3511,2.4465,784.75,7.942
2008-02-06,87.78,87.14,2.3308,2.4188,784.75,7.994
2008-02-07,88.51,88.11,2.351,2.4585,788.75,8.102
2008-02-08,91.94,91.77,2.3572,2.5541,817.75,8.301
2008-02-11,93.53,93.59,2.3962,2.6044,849.0,8.531
2008-02-12,92.86,92.78,2.368,2.5911,849.0,8.436
2008-02-13,93.32,93.27,2.3899,2.6156,833.25,8.388
2008-02-14,95.09,95.46,2.4761,2.6666,847.25,8.772
